,Temperature (K),Sample Position (deg),Res. (ohm-cm),ACT,ACT_str,T,H,geo,Delta Res. Mean (ohm-cm),Delta Res./R0 Mean (ohm-cm),Delta Res./R0 Mean (%),Delta Res. 0deg (ohm-cm),Delta Res./R0 0deg (ohm-cm),Delta Res./R0 0deg (%),Sample Position (rads),Res. (uohm-cm),Delta Res. Mean (uohm-cm),Delta Res./R0 Mean (uohm-cm),Delta Res. 0deg (uohm-cm),Delta Res./R0 0deg (uohm-cm)
0,9.99668405,0.0,0.0003947219449906,11,ACTRot11,10.0,0.5,perp,1.6844074106651605e-08,4.267508595034666e-05,1.6844074106651605,0.0,0.0,0.0,0.0,394.7219449906,0.016844074106651605,42.67508595034666,0.0,0.0
1,9.997114175,2.0216,0.0003945377716776,11,ACTRot11,10.0,0.5,perp,-1.6732923889333732e-07,-0.0004239348275581032,-16.732923889333733,-1.8417331299998892e-07,-0.000466590001740022,-18.417331299998892,0.03528357615831736,394.5377716776,-0.1673292388933373,-423.9348275581032,-0.18417331299998893,-466.590001740022
2,9.9976647,3.99,0.0003948185373541,11,ACTRot11,10.0,0.5,perp,1.1343643760663947e-07,0.0002873954183597919,11.343643760663948,9.659236349998787e-08,0.00024470988939388245,9.659236349998787,0.06963863715457375,394.8185373541,0.11343643760663948,287.39541835979185,0.09659236349998787,244.70988939388246
3,9.9978311,6.0116,0.0003946296409089,11,ACTRot11,10.0,0.5,perp,-7.546000759331168e-08,-0.00019118072560525773,-7.546000759331168,-9.230408169996328e-08,-0.00023384583216461765,-9.230408169996329,0.1049222133128911,394.6296409089,-0.07546000759331167,-191.18072560525772,-0.09230408169996329,-233.84583216461763
4,9.9981921,7.98,0.0003944233971912,11,ACTRot11,10.0,0.5,perp,-2.817037252933496e-07,-0.0007137068272977523,-28.17037252933496,-2.985477994000012e-07,-0.0007563496359623757,-29.854779940000117,0.1392772743091475,394.42339719119997,-0.2817037252933496,-713.7068272977523,-0.2985477994000012,-756.3496359623757
5,9.998200175,10.0016003,0.0003945309126717,11,ACTRot11,10.0,0.5,perp,-1.741882447933176e-07,-0.00044131237318407524,-17.41882447933176,-1.910323188999692e-07,-0.0004839668058093869,-19.10323188999692,0.17456085570345262,394.53091267170004,-0.1741882447933176,-441.3123731840752,-0.1910323188999692,-483.96680580938687
6,9.998510375,12.0232,0.0003946845149904,11,ACTRot11,10.0,0.5,perp,-2.0585926093332277e-08,-5.215520662269724e-05,-2.058592609333228,-3.743000019998388e-08,-9.48262458548517e-05,-3.743000019998388,0.2098444266257822,394.68451499040003,-0.020585926093332277,-52.15520662269724,-0.03743000019998388,-94.82624585485169
7,9.998639825,13.9916,0.0003949224103242,11,ACTRot11,10.0,0.5,perp,2.1730940770665116e-07,0.0005505614373922842,21.730940770665114,2.0046533359999955e-07,0.0005078646782731411,20.046533359999955,0.2441994876220386,394.9224103242,0.21730940770665116,550.5614373922841,0.20046533359999955,507.8646782731411
8,9.99886965,16.0131989,0.0003947631779117,11,ACTRot11,10.0,0.5,perp,5.807699520664301e-08,0.00014714021955072277,5.807699520664301,4.1232921099991406e-08,0.0001044606757320608,4.123292109999141,0.2794830445817342,394.7631779117,0.058076995206643015,147.14021955072278,0.04123292109999141,104.4606757320608
9,9.999205075,17.9815998,0.0003948261908617,11,ACTRot11,10.0,0.5,perp,1.2108994520667249e-07,0.00030678586348518246,12.108994520667249,1.0424587110002088e-07,0.00026409950706567234,10.424587110002088,0.3138381212859539,394.8261908617,0.12108994520667249,306.78586348518246,0.10424587110002088,264.09950706567236
10,9.9998913,20.0032005,0.0003948583627817,11,ACTRot11,10.0,0.5,perp,1.532618652066802e-07,0.0003882946150196964,15.326186520668019,1.364177911000286e-07,0.00034560478035564323,13.64177911000286,0.34912170966157596,394.8583627817,0.1532618652066802,388.2946150196964,0.13641779110002858,345.60478035564324
11,9.99971295,22.0247993,0.0003945790500606,11,ACTRot11,10.0,0.5,perp,-1.2605085589331363e-07,-0.00031935451454928593,-12.605085589331363,-1.4289492999996524e-07,-0.00036201415151460145,-14.289492999996524,0.38440526487594234,394.5790500606,-0.12605085589331363,-319.3545145492859,-0.14289492999996523,-362.01415151460145
12,9.99995375,23.9932003,0.0003946332505458,11,ACTRot11,10.0,0.5,perp,-7.185037069332894e-08,-0.00018203557675463162,-7.1850370693328935,-8.869444479998054e-08,-0.00022470107356735065,-8.869444479998053,0.4187603433254912,394.6332505458,-0.07185037069332893,-182.03557675463162,-0.08869444479998054,-224.70107356735065
13,9.99972965,26.0147991,0.0003946828918717,11,ACTRot11,10.0,0.5,perp,-2.220904479332403e-08,-5.626743799802763e-05,-2.220904479332403,-3.9053118899975633e-08,-9.893830174784342e-05,-3.9053118899975634,0.45404389853985755,394.6828918717,-0.02220904479332403,-56.26743799802763,-0.03905311889997563,-98.93830174784343
14,10.000091775,27.9832001,0.0003946027749641,11,ACTRot11,10.0,0.5,perp,-1.0232595239336546e-07,-0.00025924659234392383,-10.232595239336545,-1.1917002650001706e-07,-0.00030190879431052413,-11.917002650001706,0.4883989769894065,394.6027749641,-0.10232595239336546,-259.24659234392385,-0.11917002650001707,-301.9087943105241
15,10.00026015,30.0047989,0.0003946369691281,11,ACTRot11,10.0,0.5,perp,-6.813178839333578e-08,-0.00017261441069582283,-6.8131788393335775,-8.497586249998738e-08,-0.00021528030954045643,-8.497586249998738,0.5236825322037728,394.6369691281,-0.06813178839333578,-172.61441069582284,-0.08497586249998738,-215.28030954045644
16,10.000528825,32.0263977,0.0003946228827976,11,ACTRot11,10.0,0.5,perp,-8.221811889332553e-08,-0.00020830265102330205,-8.221811889332553,-9.906219299997713e-08,-0.00025096702693420356,-9.906219299997714,0.558966087418139,394.6228827976,-0.08221811889332553,-208.30265102330205,-0.09906219299997714,-250.96702693420357
17,10.0005572,33.9948006,0.0003945031854432,11,ACTRot11,10.0,0.5,perp,-2.019154732933303e-07,-0.0005115603340937035,-20.19154732933303,-2.187595473999819e-07,-0.0005542117690091731,-21.87595473999819,0.5933211990289438,394.5031854432,-0.20191547329333032,-511.56033409370355,-0.2187595473999819,-554.211769009173
18,10.000209325,36.0163994,0.0003946251733426,11,ACTRot11,10.0,0.5,perp,-7.99275738933426e-08,-0.00020249947038371988,-7.992757389334261,-9.677164799999421e-08,-0.0002451640939352859,-9.67716479999942,0.6286047542433101,394.6251733426,-0.07992757389334261,-202.49947038371988,-0.09677164799999421,-245.1640939352859
19,10.0003047,37.9847984,0.000394599091888,11,ACTRot11,10.0,0.5,perp,-1.0600902849332771e-07,-0.00026857780212917936,-10.60090284933277,-1.2285310259997932e-07,-0.00031123960590259296,-12.285310259997932,0.6629597977862741,394.59909188800003,-0.10600902849332772,-268.57780212917936,-0.12285310259997932,-311.239605902593
20,10.00025655,40.0064011,0.0003946272250414,11,ACTRot11,10.0,0.5,perp,-7.787587509333919e-08,-0.00019730141544285534,-7.787587509333919,-9.47199491999908e-08,-0.00023996626081239665,-9.47199491999908,0.6982434210684811,394.6272250414,-0.0778758750933392,-197.30141544285533,-0.0947199491999908,-239.96626081239665
21,10.000294175,41.9748001,0.0003947285627176,11,ACTRot11,10.0,0.5,perp,2.3461801106669077e-08,5.944134254204337e-05,2.3461801106669076,6.6177270000174725e-09,1.676554112078838e-05,0.6617727000017473,0.7325984646114451,394.7285627176,0.023461801106669077,59.44134254204337,0.0066177270000174725,16.765541120788377
22,10.000206475,43.9963989,0.0003947947049355,11,ACTRot11,10.0,0.5,perp,8.960401900667825e-08,0.00022701510266429398,8.960401900667826,7.275994490002664e-08,0.00018433215032358883,7.275994490002664,0.7678820198258115,394.7947049355,0.08960401900667825,227.01510266429398,0.07275994490002664,184.33215032358882
23,10.00014425,46.0179977,0.0003947498541524,11,ACTRot11,10.0,0.5,perp,4.475323590668679e-08,0.00011338398161759532,4.475323590668679,2.7909161800035182e-08,7.070587828781553e-05,2.790916180003518,0.8031655750401777,394.7498541524,0.044753235906686784,113.38398161759532,0.027909161800035182,70.70587828781554
24,10.000294225,47.9864006,0.0003947502790779,11,ACTRot11,10.0,0.5,perp,4.5178161406638374e-08,0.00011446054611844652,4.517816140663838,2.833408729998677e-08,7.178239684814465e-05,2.833408729998677,0.8375206866509824,394.75027907789996,0.04517816140663837,114.46054611844653,0.02833408729998677,71.78239684814464
25,10.000366,50.0079994,0.0003949310569974,11,ACTRot11,10.0,0.5,perp,2.259560809066835e-07,0.0005724681043696175,22.59560809066835,2.091120068000319e-07,0.0005297704104214721,20.91120068000319,0.8728042418653489,394.93105699740005,0.2259560809066835,572.4681043696174,0.2091120068000319,529.7704104214721
26,10.000299475,51.9763985,0.0003947454422593,11,ACTRot11,10.0,0.5,perp,4.0341342806646946e-08,0.0001022062869544264,4.034134280664695,2.349726869999534e-08,5.952866061337155e-05,2.349726869999534,0.9071592871536419,394.7454422593,0.040341342806646946,102.2062869544264,0.02349726869999534,59.52866061337155
