freqs (cycles/rot),amps,mag (ohm-cm),phase,amp_ratio,ACT_str,ACT,T,H,geo
2,(-4.146795679164625e-08-5.890119290199158e-07j),5.904698501771586e-07,4.642102377526293,1.0,ACTRot11,11.0,10.0,0.5,perp
1,(-5.300892827666956e-07+2.1935381218763008e-07j),5.736817433258234e-07,4.642102377526293,0.9715682234303777,ACTRot11,11.0,10.0,0.5,perp
4,(3.0859026153524557e-08-4.1057698616269437e-07j),4.1173503744712477e-07,4.642102377526293,0.6973006959179913,ACTRot11,11.0,10.0,0.5,perp
3,(-2.460441393016157e-07+2.555198442179145e-07j),3.5472258072163965e-07,4.642102377526293,0.6007463050233848,ACTRot11,11.0,10.0,0.5,perp
6,(2.337859021094182e-07+1.5829525103220627e-07j),2.823353228422963e-07,4.642102377526293,0.4781536648443392,ACTRot11,11.0,10.0,0.5,perp
8,(-1.5317462282949907e-07-2.2199899144924494e-07j),2.6971469608354904e-07,4.642102377526293,0.4567797932487604,ACTRot11,11.0,10.0,0.5,perp
5,(9.40966867611852e-08-1.80050840786185e-07j),2.0315632337499306e-07,4.642102377526293,0.3440587581466523,ACTRot11,11.0,10.0,0.5,perp
9,(-9.1318847692793e-08-6.19524332718943e-08j),1.1035051396458488e-07,4.642102377526293,0.18688594164710767,ACTRot11,11.0,10.0,0.5,perp
7,(2.1786167603639794e-08+6.884963799050877e-08j),7.221433202819225e-08,4.642102377526293,0.12229977873811133,ACTRot11,11.0,10.0,0.5,perp
0,(4.593522430494535e-19+0j),4.593522430494535e-19,4.642102377526293,7.779436035754139e-13,ACTRot11,11.0,10.0,0.5,perp
2,(-2.9164023681739923e-06-1.1458747102601952e-06j),3.133437668871803e-06,3.5159694020996537,1.0,ACTRot11,11.0,10.0,3.0,perp
4,(-9.867979142726289e-07-1.2199544970071204e-07j),9.943103204535742e-07,3.5159694020996537,0.3173225146079183,ACTRot11,11.0,10.0,3.0,perp
3,(4.273661929930443e-07+1.0667881627445434e-07j),4.4047954862296027e-07,3.5159694020996537,0.14057389843709747,ACTRot11,11.0,10.0,3.0,perp
5,(-2.2634134208491267e-07-3.398323190974546e-07j),4.083092066558795e-07,3.5159694020996537,0.13030710989151145,ACTRot11,11.0,10.0,3.0,perp
1,(3.113151583923942e-07+1.342593126476956e-07j),3.390319909352407e-07,3.5159694020996537,0.1081980963921039,ACTRot11,11.0,10.0,3.0,perp
9,(2.0769321627292412e-07-2.2316632109349439e-07j),3.0486009734990944e-07,3.5159694020996537,0.09729253604705486,ACTRot11,11.0,10.0,3.0,perp
6,(-1.2679385048810337e-07-2.3608764451152864e-07j),2.679814478888444e-07,3.5159694020996537,0.08552314620808506,ACTRot11,11.0,10.0,3.0,perp
7,(-2.025294138243258e-07-9.839662163153847e-08j),2.2516673513759787e-07,3.5159694020996537,0.07185933116667655,ACTRot11,11.0,10.0,3.0,perp
8,(-1.1792539963370574e-07+8.375416484255702e-08j),1.4464148784924545e-07,3.5159694020996537,0.04616063988958292,ACTRot11,11.0,10.0,3.0,perp
0,(3.3847007382591314e-19+0j),3.3847007382591314e-19,3.5159694020996537,1.0801876711585573e-13,ACTRot11,11.0,10.0,3.0,perp
2,(-9.160424867711703e-06-4.024069972398183e-06j),1.0005324727351316e-05,5.8811204019614145,1.0,ACTRot11,11.0,10.0,7.0,perp
5,(3.629135024263345e-07-1.8722394883549946e-06j),1.9070885957393591e-06,5.8811204019614145,0.19060736634824021,ACTRot11,11.0,10.0,7.0,perp
1,(1.6615403360159868e-06-7.065357412216076e-07j),1.8055218198160014e-06,5.8811204019614145,0.18045609403163995,ACTRot11,11.0,10.0,7.0,perp
6,(1.0707917944820158e-06-1.3391499008658413e-06j),1.7146187693242508e-06,5.8811204019614145,0.17137062674608036,ACTRot11,11.0,10.0,7.0,perp
7,(1.5986090910822095e-06-5.281396319244844e-07j),1.6835921408999324e-06,5.8811204019614145,0.16826961510779725,ACTRot11,11.0,10.0,7.0,perp
8,(-1.0940793516168668e-06+1.3329518588300116e-07j),1.102169331007703e-06,5.8811204019614145,0.1101582768218136,ACTRot11,11.0,10.0,7.0,perp
3,(-6.635511979251142e-07+8.348872072652274e-07j),1.0664599575806796e-06,5.8811204019614145,0.10658923989396601,ACTRot11,11.0,10.0,7.0,perp
9,(-5.584659114187798e-07+3.5414926108146016e-07j),6.612910655236109e-07,5.8811204019614145,0.06609391334554643,ACTRot11,11.0,10.0,7.0,perp
4,(5.146510759990756e-07+1.65817781792868e-07j),5.407044172056609e-07,5.8811204019614145,0.054041666006856344,ACTRot11,11.0,10.0,7.0,perp
0,(3.626465076706212e-19+0j),3.626465076706212e-19,5.8811204019614145,3.6245351105822997e-14,ACTRot11,11.0,10.0,7.0,perp
2,(-7.536606712671138e-06+4.483238571917001e-06j),8.769257028631562e-06,4.854028516777919,1.0,ACTRot11,11.0,10.0,9.0,perp
4,(7.869234443888404e-07-5.518614764671075e-06j),5.574437857593749e-06,4.854028516777919,0.6356796065383018,ACTRot11,11.0,10.0,9.0,perp
1,(3.220764994941047e-06+3.857033735249719e-06j),5.0249414312499205e-06,4.854028516777919,0.5730179209987257,ACTRot11,11.0,10.0,9.0,perp
8,(-2.811133724493767e-06+2.892293995648592e-06j),4.033340721319127e-06,4.854028516777919,0.4599409856673488,ACTRot11,11.0,10.0,9.0,perp
3,(-2.980135691033103e-06+5.007530062463708e-07j),3.0219136834519493e-06,4.854028516777919,0.34460316006081504,ACTRot11,11.0,10.0,9.0,perp
5,(8.879530918853247e-07-2.716095686705077e-06j),2.8575577811702486e-06,4.854028516777919,0.3258608764505753,ACTRot11,11.0,10.0,9.0,perp
6,(2.3628751292026863e-06-4.445838901411167e-07j),2.4043364389322934e-06,4.854028516777919,0.2741778956965399,ACTRot11,11.0,10.0,9.0,perp
7,(1.7750882603154676e-06+1.2885091142897669e-06j),2.1934434274714248e-06,4.854028516777919,0.2501287646501691,ACTRot11,11.0,10.0,9.0,perp
9,(-1.2356830334759339e-06-9.97995883616894e-08j),1.2397066253987064e-06,4.854028516777919,0.14136963044315762,ACTRot11,11.0,10.0,9.0,perp
0,(7.454400435451658e-20+0j),7.454400435451658e-20,4.854028516777919,8.500606620507408e-15,ACTRot11,11.0,10.0,9.0,perp
2,(-3.147054539400082e-07-5.981554000903554e-07j),6.758915633419608e-07,5.076699124061635,1.0,ACTRot11,11.0,15.0,0.5,perp
3,(2.3308741771109965e-07+7.328276271421914e-09j),2.3320258988342934e-07,5.076699124061635,0.3450295913302335,ACTRot11,11.0,15.0,0.5,perp
5,(-2.0655348259484626e-07-5.9007602433391005e-08j),2.1481675520544617e-07,5.076699124061635,0.31782724752958885,ACTRot11,11.0,15.0,0.5,perp
9,(2.8931095035570818e-08+1.6129943392991515e-07j),1.6387347450416828e-07,5.076699124061635,0.24245527447315995,ACTRot11,11.0,15.0,0.5,perp
6,(-1.313351024594109e-07+3.504504048319585e-08j),1.3593036452718282e-07,5.076699124061635,0.20111268123406087,ACTRot11,11.0,15.0,0.5,perp
7,(1.093393045975476e-08-1.163201930057296e-07j),1.1683294970250874e-07,5.076699124061635,0.17285753520109887,ACTRot11,11.0,15.0,0.5,perp
4,(1.4095096156259982e-08+8.002214127360563e-08j),8.125401423724931e-08,5.076699124061635,0.12021752991779783,ACTRot11,11.0,15.0,0.5,perp
1,(2.1154742639452135e-08-5.54759643126333e-08j),5.9372601025708966e-08,5.076699124061635,0.08784338234988438,ACTRot11,11.0,15.0,0.5,perp
8,(2.815469615479962e-08-1.1141558786759791e-08j),3.027905625622953e-08,5.076699124061635,0.0447986894621292,ACTRot11,11.0,15.0,0.5,perp
0,(3.223524512627744e-19+0j),3.223524512627744e-19,5.076699124061635,4.76929242420035e-13,ACTRot11,11.0,15.0,0.5,perp
2,(-1.9078839553690695e-06-8.945949619637777e-07j),2.107206998167408e-06,3.5800471040009745,1.0,ACTRot11,11.0,15.0,3.0,perp
4,(-5.420766663027946e-07-2.4280776774173323e-08j),5.426201878576842e-07,3.5800471040009745,0.2575068269655469,ACTRot11,11.0,15.0,3.0,perp
6,(-2.327906806687326e-07+4.978454955758973e-08j),2.3805462058289046e-07,3.5800471040009745,0.11297163534001232,ACTRot11,11.0,15.0,3.0,perp
