T,H,Sample Position (deg),Temperature (K),Magnetic Field (Oe),Abs. Magnetic Field (Oe),Res. ch2 (ohm-cm),Res. Std.Dev. ch2,Field Polarity,Time Stamp (sec),Mean_res,Zeroed Res.,Pct. Mean Res. (%),L (cm),H (cm),W (cm)
10.0,0.5,1.0108,9.9995434,0.07150000000001455,5000.0165,0.0007421234272322345,5.53938483638949e-06,0.0,19195558.627499998,0.0007418710075588745,2.52419673360039e-07,0.03402473890853688,0.0786,0.0802,0.09172
10.0,0.5,2.0216,9.999442825,0.07150000000001455,5000.0165,0.0007421610857651986,6.32214374894554e-06,0.0,19195558.8375,0.0007418710075588745,2.9007820632413316e-07,0.03910089535357839,0.0786,0.0802,0.09172
10.0,0.5,2.9791999,9.9986782,0.07150000000001455,5000.0165,0.0007419925298423659,4.852589208646525e-06,0.0,19195558.665,0.0007418710075588745,1.2152228349136558e-07,0.016380513897049902,0.0786,0.0802,0.09172
10.0,0.5,3.99,9.998378025000001,0.07150000000001455,5000.0165,0.0007419999271106837,4.07260982187737e-06,0.0,19195558.8975,0.0007418710075588745,1.2891955180921889e-07,0.017377623669838305,0.0786,0.0802,0.09172
10.0,0.5,5.0008001,9.99927855,0.07150000000001455,5000.0165,0.0007420669843304509,4.89668782377355e-06,0.0,19195559.3525,0.0007418710075588745,1.9597677157641696e-07,0.02641655619098504,0.0786,0.0802,0.09172
10.0,0.5,6.0116,9.999770875,0.07150000000001455,5000.0165,0.0007421472136897863,5.4937860382567156e-06,0.0,19195559.1875,0.0007418710075588745,2.762061309118276e-07,0.03723101834383358,0.0786,0.0802,0.09172
10.0,0.5,7.0223999,9.99930645,0.07150000000001455,5000.0165,0.0007421281694628982,4.112058605052925e-06,0.0,19195559.1875,0.0007418710075588745,2.5716190402375137e-07,0.03466396467897327,0.0786,0.0802,0.09172
10.0,0.5,7.98,10.00039315,0.07150000000001455,5000.0165,0.0007420840354433456,5.03730290100978e-06,0.0,19195559.225,0.0007418710075588745,2.1302788447109203e-07,0.02871494940502662,0.0786,0.0802,0.09172
10.0,0.5,8.9907999,9.9992125,0.07150000000001455,5000.0165,0.0007421141523816274,5.387949437926085e-06,0.0,19195559.4925,0.0007418710075588745,2.431448227528882e-07,0.03277454170273562,0.0786,0.0802,0.09172
10.0,0.5,10.0016003,9.99946285,0.07150000000001455,5000.0165,0.0007421118557491376,3.3184678071406103e-06,0.0,19195559.4675,0.0007418710075588745,2.4084819026312654e-07,0.03246496868177086,0.0786,0.0802,0.09172
10.0,0.5,11.0123997,9.99960615,0.07150000000001455,5000.0165,0.0007421805469262284,4.3732409052926045e-06,0.0,19195559.5275,0.0007418710075588745,3.0953936735393477e-07,0.041724149373686084,0.0786,0.0802,0.09172
10.0,0.5,12.0232,10.00064755,0.07150000000001455,5000.0165,0.000742340506360592,4.6708987226296e-06,0.0,19195560.17,0.0007418710075588745,4.6949880171749843e-07,0.06328577298934805,0.0786,0.0802,0.09172
