T,H,Sample Position (deg),Temperature (K),Magnetic Field (Oe),Abs. Magnetic Field (Oe),Res. ch2 (ohm-cm),Res. Std.Dev. ch2,Field Polarity,Time Stamp (sec),Mean_res,Zeroed Res.,Pct. Mean Res. (%),L (cm),H (cm),W (cm)
5.0,7.0,1.0108,4.997051375,-1.0819999999948777,70000.223,0.0002694124262170559,7.2374684101560355e-06,0.0,19293934.450000003,0.00027328695085488953,-3.874524637833621e-06,-1.4177495945977034,0.0786,0.0802,0.09172
5.0,7.0,2.0216,4.997465849999999,-1.0819999999948777,70000.223,0.00027037796398969864,5.54895365268302e-06,0.0,19293933.979999997,0.00027328695085488953,-2.9089868651908913e-06,-1.0644441149096473,0.0786,0.0802,0.09172
5.0,7.0,2.9791999,4.997234675,-1.0819999999948777,70000.223,0.00027085487818327366,1.1121420354720074e-05,0.0,19293933.8675,0.00027328695085488953,-2.4320726716158697e-06,-0.8899336993617587,0.0786,0.0802,0.09172
5.0,7.0,3.99,4.99796175,-1.0819999999948777,70000.223,0.0002715288532330771,5.389966299587225e-06,0.0,19293933.935000002,0.00027328695085488953,-1.7580976218124138e-06,-0.6433156125137977,0.0786,0.0802,0.09172
5.0,7.0,5.0008001,4.997949950000001,-1.0819999999948777,70000.223,0.00027203557567023577,1.07820914106617e-05,0.0,19293933.4025,0.00027328695085488953,-1.251375184653763e-06,-0.4578978911138062,0.0786,0.0802,0.09172
5.0,7.0,6.0116,4.99771485,-1.0819999999948777,70000.223,0.00027304045624359054,8.151225388270515e-06,0.0,19293933.997500002,0.00027328695085488953,-2.464946112989909e-07,-0.0901962609366867,0.0786,0.0802,0.09172
5.0,7.0,7.0223999,4.999000799999999,-1.0819999999948777,70000.223,0.00027343998123000973,7.14101158714305e-06,0.0,19293934.035,0.00027328695085488953,1.5303037512019464e-07,0.055996224715994955,0.0786,0.0802,0.09172
5.0,7.0,7.98,4.998255975,-1.0819999999948777,70000.223,0.0002738487133191838,9.79268627740986e-06,0.0,19293934.1075,0.00027328695085488953,5.617624642942809e-07,0.20555773429246782,0.0786,0.0802,0.09172
5.0,7.0,8.9907999,4.99903155,-1.0819999999948777,70000.223,0.0002746055079064003,1.1595439901677054e-05,0.0,19293934.23,0.00027328695085488953,1.3185570515107572e-06,0.4824807944126419,0.0786,0.0802,0.09172
5.0,7.0,10.0016003,4.998052475,-1.0819999999948777,70000.223,0.00027510327613843315,7.570450198446095e-06,0.0,19293934.2575,0.00027328695085488953,1.816325283543615e-06,0.6646220311148522,0.0786,0.0802,0.09172
5.0,7.0,11.0123997,4.9984138,-1.0819999999948777,70000.223,0.00027569323486847984,7.936697244010324e-06,0.0,19293934.305,0.00027328695085488953,2.4062840135903054e-06,0.8804972231798945,0.0786,0.0802,0.09172
5.0,7.0,12.0232,4.99843095,-1.0819999999948777,70000.223,0.0002763116145604119,1.3670011922770215e-05,0.0,19293934.1925,0.00027328695085488953,3.024663705522362e-06,1.1067720928718634,0.0786,0.0802,0.09172
5.0,7.0,12.9807997,4.998434775,-1.0819999999948777,70000.223,0.00027664846442191764,1.008167558483646e-05,0.0,19293933.7075,0.00027328695085488953,3.3615135670281076e-06,1.2300307630908476,0.0786,0.0802,0.09172
5.0,7.0,13.9916,4.998466975,-1.0819999999948777,70000.223,0.00027719475264394405,9.041482755838394e-06,0.0,19293933.77,0.00027328695085488953,3.907801789054517e-06,1.4299262283948164,0.0786,0.0802,0.09172
5.0,7.0,15.0023994,4.999029625,-1.0819999999948777,70000.223,0.00027778173862529694,8.596160107777805e-06,0.0,19293933.685000002,0.00027328695085488953,4.494787770407407e-06,1.6447136448875153,0.0786,0.0802,0.09172
5.0,7.0,16.0131989,4.99915695,-1.0819999999948777,70000.223,0.0002782116729731088,1.3592000355057705e-05,0.0,19293933.4175,0.00027328695085488953,4.924722118219288e-06,1.802033394867151,0.0786,0.0802,0.09172
5.0,7.0,17.0240002,4.999465474999999,-1.0819999999948777,70000.223,0.0002784146580934809,8.86327452049465e-06,0.0,19293933.415,0.00027328695085488953,5.127707238591374e-06,1.8763088477334926,0.0786,0.0802,0.09172
5.0,7.0,17.9815998,4.99935865,-1.0819999999948777,70000.223,0.00027894383214904393,1.233359678606897e-05,0.0,19293933.8975,0.00027328695085488953,5.656881294154395e-06,2.0699419699545394,0.0786,0.0802,0.09172
5.0,7.0,18.9923992,4.999904975,-1.0819999999948777,70000.223,0.00027924904915196074,1.2917684348116982e-05,0.0,19293934.38,0.00027328695085488953,5.962098297071202e-06,2.181625678950536,0.0786,0.0802,0.09172
5.0,7.0,20.0032005,4.9996603749999995,-1.0819999999948777,70000.223,0.00027940765967788574,1.233446393247418e-05,0.0,19293933.945,0.00027328695085488953,6.1207088229962045e-06,2.2396637687418126,0.0786,0.0802,0.09172
5.0,7.0,21.0139999,4.998698474999999,-1.0819999999948777,70000.223,0.00027968868390674997,1.035002572548535e-05,0.0,19293933.19,0.00027328695085488953,6.401733051860433e-06,2.342494960639243,0.0786,0.0802,0.09172
5.0,7.0,22.0247993,4.99886845,-1.0819999999948777,70000.223,0.00028003290823032547,1.3303194464378361e-05,0.0,19293932.5475,0.00027328695085488953,6.745957375435931e-06,2.4684520626884647,0.0786,0.0802,0.09172
5.0,7.0,22.982399,4.999431825,-1.0819999999948777,70000.223,0.00028023183339643935,1.085917451998585e-05,0.0,19293931.792499997,0.00027328695085488953,6.944882541549816e-06,2.54124191434132,0.0786,0.0802,0.09172
5.0,7.0,23.9932003,4.999261150000001,-1.0819999999948777,70000.223,0.0002803917349065258,1.37011227586321e-05,0.0,19293931.9125,0.00027328695085488953,7.104784051636243e-06,2.5997523955722115,0.0786,0.0802,0.09172
5.0,7.0,25.0039997,4.9988984,-1.0819999999948777,70000.223,0.00028043450104724024,1.206521180019096e-05,0.0,19293931.752499998,0.00027328695085488953,7.147550192350709e-06,2.6154012000909366,0.0786,0.0802,0.09172
5.0,7.0,26.0147991,4.9993169250000005,-1.0819999999948777,70000.223,0.0002803689616259169,1.084573223879303e-05,0.0,19293932.14,0.00027328695085488953,7.082010771027351e-06,2.591419293483856,0.0786,0.0802,0.09172
5.0,7.0,27.0256004,5.000094175,-1.0819999999948777,70000.223,0.0002804173875979128,1.099756349854695e-05,0.0,19293932.1425,0.00027328695085488953,7.130436743023251e-06,2.609139119419348,0.0786,0.0802,0.09172
5.0,7.0,27.9832001,5.00004815,-1.0819999999948777,70000.223,0.0002805216245733334,1.3505706086377935e-05,0.0,19293932.14,0.00027328695085488953,7.234673718443886e-06,2.647281070615541,0.0786,0.0802,0.09172
5.0,7.0,28.9939995,5.00024105,-1.0819999999948777,70000.223,0.0002804100553114047,7.65094914962849e-06,0.0,19293932.035,0.00027328695085488953,7.123104456515153e-06,2.606456120291449,0.0786,0.0802,0.09172
5.0,7.0,30.0047989,4.9991139,-1.0819999999948777,70000.223,0.0002803479212770344,6.9208902127128e-06,0.0,19293932.5075,0.00027328695085488953,7.060970422144853e-06,2.58372029841048,0.0786,0.0802,0.09172
5.0,7.0,31.0156002,4.999188425,-1.0819999999948777,70000.223,0.00028032284114366086,7.446433727206575e-06,0.0,19293932.645,0.00027328695085488953,7.035890288771324e-06,2.5745430825591287,0.0786,0.0802,0.09172
5.0,7.0,32.0263977,4.9996402,-1.0819999999948777,70000.223,0.0002804279059440669,9.341485316677105e-06,0.0,19293932.487499997,0.00027328695085488953,7.1409550891773856e-06,2.6129879479569826,0.0786,0.0802,0.09172
5.0,7.0,32.9840012,4.9991907,-1.0819999999948777,70000.223,0.0002801466606241151,1.062865508165947e-05,0.0,19293932.59,0.00027328695085488953,6.859709769225554e-06,2.5100758553480795,0.0786,0.0802,0.09172
5.0,7.0,33.9948006,5.000094875,-1.0819999999948777,70000.223,0.0002797657342305625,8.9556673088052e-06,0.0,19293932.695,0.00027328695085488953,6.4787833756729525e-06,2.3706888877812062,0.0786,0.0802,0.09172
5.0,7.0,35.0056,4.999961,-1.0819999999948777,70000.223,0.0002796989762199898,1.3046591005337365e-05,0.0,19293932.6725,0.00027328695085488953,6.412025365100285e-06,2.346261080173182,0.0786,0.0802,0.09172
5.0,7.0,36.0163994,4.999984975,-1.0819999999948777,70000.223,0.000279682778514208,7.525163551037185e-06,0.0,19293933.104999997,0.00027328695085488953,6.395827659318491e-06,2.340334084489296,0.0786,0.0802,0.09172
5.0,7.0,36.973999,4.9993037000000005,-1.0819999999948777,70000.223,0.000279239678572854,7.486193446884315e-06,0.0,19293933.1325,0.00027328695085488953,5.952727717964488e-06,2.178196836454617,0.0786,0.0802,0.09172
5.0,7.0,37.9847984,4.999660025,-1.0819999999948777,70000.223,0.0002790434560362938,1.329069677099844e-05,0.0,19293933.1,0.00027328695085488953,5.7565051814042405e-06,2.106395919525935,0.0786,0.0802,0.09172
5.0,7.0,38.9955978,5.00042425,-1.0819999999948777,70000.223,0.0002787086448707095,8.03482701719007e-06,0.0,19293933.200000003,0.00027328695085488953,5.421694015819939e-06,1.983883240257147,0.0786,0.0802,0.09172
5.0,7.0,40.0064011,4.9995732,-1.0819999999948777,70000.223,0.00027842171634162376,1.069445175505862e-05,0.0,19293933.23,0.00027328695085488953,5.13476548673423e-06,1.8788915719070314,0.0786,0.0802,0.09172
5.0,7.0,41.0172005,5.0002767,-1.0819999999948777,70000.223,0.0002782455823381953,1.334502719444918e-05,0.0,19293932.74,0.00027328695085488953,4.958631483305753e-06,1.8144413656759986,0.0786,0.0802,0.09172
5.0,7.0,41.9748001,4.9996849,-1.0819999999948777,70000.223,0.0002778784293147691,8.836798112242495e-06,0.0,19293932.72,0.00027328695085488953,4.591478459879542e-06,1.6800942911897518,0.0786,0.0802,0.09172
5.0,7.0,42.9855995,4.999738349999999,-1.0819999999948777,70000.223,0.00027734186208576233,9.36087387515043e-06,0.0,19293932.265,0.00027328695085488953,4.054911230872793e-06,1.4837558903519978,0.0786,0.0802,0.09172
5.0,7.0,43.9963989,5.00021325,-1.0819999999948777,70000.223,0.00027708786299384395,7.871052120006285e-06,0.0,19293931.83,0.00027328695085488953,3.8009121389544123e-06,1.3908136217497733,0.0786,0.0802,0.09172
5.0,7.0,45.0071983,5.000749225,-1.0819999999948777,70000.223,0.0002764829343723906,5.979112835175885e-06,0.0,19293932.335,0.00027328695085488953,3.1959835175010554e-06,1.1694607106206345,0.0786,0.0802,0.09172
5.0,7.0,46.0179977,4.99983395,-1.0819999999948777,70000.223,0.0002762322061131598,7.928006724412215e-06,0.0,19293932.96,0.00027328695085488953,2.94525525827027e-06,1.0777152912193557,0.0786,0.0802,0.09172
5.0,7.0,46.9755974,4.999476425,-1.0819999999948777,70000.223,0.00027593653800478033,9.193500479214595e-06,0.0,19293932.95,0.00027328695085488953,2.6495871498907948e-06,0.9695256731440786,0.0786,0.0802,0.09172
5.0,7.0,47.9864006,4.999925025,-1.0819999999948777,70000.223,0.00027540025096319074,1.070584988172759e-05,0.0,19293933.057499997,0.00027328695085488953,2.1133001083012046e-06,0.7732897972956378,0.0786,0.0802,0.09172
5.0,7.0,48.9972,4.99942495,-1.0819999999948777,70000.223,0.0002752825868867937,1.2991847319853949e-05,0.0,19293932.5275,0.00027328695085488953,1.9956360319041432e-06,0.7302346583550526,0.0786,0.0802,0.09172
5.0,7.0,50.0079994,4.999872325,-1.0819999999948777,70000.223,0.00027469167132351347,1.2905090824883306e-05,0.0,19293932.5775,0.00027328695085488953,1.4047204686239308e-06,0.5140093459382963,0.0786,0.0802,0.09172
5.0,7.0,51.0187988,5.000377075,-1.0819999999948777,70000.223,0.0002739055490742292,1.2826233399064026e-05,0.0,19293931.9725,0.00027328695085488953,6.185982193396516e-07,0.22635483231254466,0.0786,0.0802,0.09172
5.0,7.0,51.9763985,4.999568575,-1.0819999999948777,70000.223,0.0002736101720362625,1.3154490584413304e-05,0.0,19293931.48,0.00027328695085488953,3.232211813729573e-07,0.1182717214861027,0.0786,0.0802,0.09172
5.0,7.0,52.9871979,4.99912655,-1.0819999999948777,70000.223,0.00027337526419125304,1.571067423919845e-05,0.0,19293931.6075,0.00027328695085488953,8.831333636350478e-08,0.032315240843825574,0.0786,0.0802,0.09172
5.0,7.0,53.9979973,4.999833675,-1.0819999999948777,70000.223,0.0002727051648277038,1.2809442508803789e-05,0.0,19293931.615,0.00027328695085488953,-5.817860271857089e-07,-0.21288467135579658,0.0786,0.0802,0.09172
5.0,7.0,55.0088005,4.99941885,-1.0819999999948777,70000.223,0.00027228351552815587,1.368072785348045e-05,0.0,19293931.525,0.00027328695085488953,-1.0034353267336627e-06,-0.3671727916736386,0.0786,0.0802,0.09172
5.0,7.0,56.0195999,5.0001657250000004,-1.0819999999948777,70000.223,0.00027174951971449453,1.290685678984949e-05,0.0,19293931.615000002,0.00027328695085488953,-1.5374311403950009e-06,-0.5625702711328318,0.0786,0.0802,0.09172
